,Unnamed: 0,Movie Name,Director,Released,Actors,Plot,RT Score,imdb_id
10,10,The Piano Lesson,Malcolm Washington,2024-11-08,"Samuel L. Jackson, John David Washington, Danielle Deadwyler","Follows the lives of the Charles family as they deal with themes of family legacy and more, in deciding what to do with an heirloom, the family piano.",93%,tt15507512
11,11,A Real Pain,Jesse Eisenberg,2024-11-01,"Kieran Culkin, Jesse Eisenberg, Olha Bosova",Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the odd-couple's old tensions resurface against the backdrop of their family history.,92%,tt21823606
12,12,A Complete Unknown,James Mangold,2024-12-25,"Timothée Chalamet, Elle Fanning, Scoot McNairy","At the Newport Folk Festival in 1965, a young Bob Dylan shakes up his act on the folk music scene by going electric and siring rock as the voice of a generation - defining one of the most transformative moments in 20th century music.",,tt11563598
13,13,Hard Truths,Mike Leigh,2025-01-31,"Marianne Jean-Baptiste, Bryony Miller, Sophia Brown",Ongoing exploration of the contemporary world with a tragicomic study of human strengths and weaknesses.,94%,tt11891850
14,14,The Room Next Door,Pedro Almodóvar,2024-10-18,"Julianne Moore, Tilda Swinton, John Turturro","Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",90%,tt29439114
15,15,Nosferatu,Robert Eggers,2024-12-25,"Aaron Taylor-Johnson, Bill Skarsgård, Emma Corrin","A gothic tale of obsession between a haunted young woman, and the terrifying vampire infatuated with her causing untold horror in its wake.",,tt5040012
16,16,Civil War,Alex Garland,2024-04-12,"Kirsten Dunst, Wagner Moura, Cailee Spaeny","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",81%,tt17279496
17,17,Challengers,Luca Guadagnino,2024-04-26,"Mike Faist, Josh O'Connor, Zendaya","Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend, and Tashi's ex-boyfriend.",88%,tt16426418
18,18,Unstoppable,,,,"Based on the life of Anthony Robles, a boy born with one leg, who overcame impossible odds on his way to glory as an NCAA Wrestling Champion in 2011.",,tt3864060
19,19,The Wild Robot,Chris Sanders,2024-09-27,"Lupita Nyong'o, Pedro Pascal, Kit Connor","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",98%,tt29623480
20,20,Young Woman and the Sea,Joachim Rønning,2024-07-19,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham","The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",89%,tt5177114
21,21,Saturday Night,Jason Reitman,2024-10-11,"Gabriel LaBelle, Rachel Sennott, Cory Michael Smith","At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1...",80%,tt27657135
22,22,The Brutalist,Brady Corbet,2025-01-23,"Adrien Brody, Felicity Jones, Guy Pearce","When visionary architect László Toth and his wife Erzsébet flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern America, their lives are changed forever by a mysterious and wealthy client.",97%,tt8999762
23,23,I'm Still Here,Walter Salles,,"Fernanda Montenegro, Fernanda Torres, Maeve Jinkings","Based on Marcelo Rubens Paiva's best-selling memoir in which his mother is forced into activism when her husband was captured by a military regime in Brazil, 1964.",,tt14961016
24,24,September 5,Tim Fehlbaum,2024-11-07,"Peter Sarsgaard, John Magaro, Ben Chaplin","During the 1972 Munich Olympics, an American sports broadcasting crew finds itself thrust into covering the hostage crisis involving Israeli athletes.",92%,tt28082769
